high,low,oneYearChange,oneYearHigh,oneYearLow,open,symbol,turnoverValue,turnoverVolume
"4,530.10","4,431.00",101.94,"4,530.10","2,090.05","4,435.70",DIVISLAB,297.39,6.60
"2,132.90","2,092.95",22.67,"2,369.35","1,708.05","2,097.00",RELIANCE,"1,378.40",65.01
641.35,632.25,75.87,679.40,333.75,632.25,ICICIBANK,701.56,109.99
148.65,146.05,10.20,165.00,109.55,147.00,COALINDIA,306.64,208.06
768.80,753.20,99.00,771.90,380.50,757.90,TATACONSUM,146.22,19.16
724.30,705.00,106.76,901.00,298.00,705.00,ADANIPORTS,"1,263.20",176.76
109.75,107.75,26.91,117.85,71.65,107.75,IOC,129.66,119.39
425.40,419.00,129.87,441.95,175.50,420.30,SBIN,694.27,164.24
806.60,789.00,78.55,864.70,399.00,791.50,UPL,200.64,25.11
"2,480.00","2,445.00",34.98,"2,896.00","1,623.00","2,463.00",HDFC,479.83,19.51
752.85,744.00,73.34,799.00,400.15,747.60,AXISBANK,266.30,35.58
787.30,777.00,57.13,952.05,494.25,786.00,M&M,153.54,19.64
"1,767.85","1,740.20",84.56,"1,792.95",941.80,"1,755.00",TITAN,220.96,12.60
533.00,520.00,-6.19,623.00,394.00,525.60,BHARTIARTL,688.85,130.64
"6,030.00","5,965.00",103.10,"6,249.00","2,806.00","6,000.00",BAJFINANCE,486.68,8.11
119.05,117.00,25.91,121.00,78.10,117.55,NTPC,202.67,172.16
"1,097.50","1,075.00",99.58,"1,109.40",536.05,"1,087.00",TECHM,181.14,16.69
"1,569.45","1,542.60",113.99,"1,591.00",729.75,"1,558.95",INFY,803.45,51.66
690.05,678.85,25.17,746.00,545.70,689.35,HDFCLIFE,543.33,90.37
"2,492.70","2,452.00",14.50,"2,533.95","2,000.05","2,478.00",HINDUNILVR,212.60,8.60
"1,014.15","1,005.15",105.10,"1,119.50",475.15,"1,008.00",INDUSINDBK,151.65,15.01
345.55,340.50,242.33,360.75,98.20,345.30,TATAMOTORS,628.83,183.04
"6,747.85","6,685.00",72.24,"7,055.95","3,735.00","6,747.85",ULTRACEMCO,172.24,2.56
120.85,118.00,47.79,128.50,64.10,120.00,ONGC,238.95,200.14
465.60,461.05,21.77,493.90,325.00,463.00,BPCL,110.35,23.85
"5,600.00","5,511.50",42.15,"5,600.00","3,814.00","5,580.00",DRREDDY,317.72,5.72
987.60,977.25,78.65,"1,067.00",551.00,983.55,HCLTECH,161.76,16.47
"1,728.00","1,710.00",26.49,"2,049.00","1,230.60","1,727.00",KOTAKBANK,385.15,22.43
"2,968.95","2,907.15",14.72,"3,629.05","2,530.00","2,960.00",HEROMOTOCO,272.31,9.29
985.80,975.10,55.96,997.00,621.05,981.85,CIPLA,139.24,14.21
"27,280.00","26,840.05",19.35,"32,048.00","18,183.55","27,280.00",SHREECEM,134.82,0.50
"1,010.90",996.05,24.94,"1,044.70",755.25,"1,010.90",SBILIFE,58.31,5.81
542.30,533.60,145.90,564.00,218.35,540.10,WIPRO,223.37,41.57
"1,500.65","1,475.50",61.04,"1,593.00",843.00,"1,500.00",LT,269.60,18.15
"7,634.50","7,546.55",30.34,"8,329.00","5,750.00","7,625.00",MARUTI,329.54,4.35
203.70,202.25,-0.22,239.20,163.35,203.30,ITC,257.47,126.99
"1,489.25","1,477.00",36.69,"1,641.00",993.00,"1,485.00",HDFCBANK,"1,099.19",74.14
"3,339.70","3,295.20",59.13,"3,399.65","2,079.50","3,331.00",TCS,557.14,16.82
689.50,678.30,45.55,721.85,452.25,685.50,SUNPHARMA,346.92,50.72
"2,691.10","2,642.00",-85.52,"3,037.00","1,797.00","2,674.00",EICHERMOT,165.32,6.21
"17,680.00","17,486.00",4.60,"18,844.00","15,100.00","17,679.00",NESTLEIND,53.99,0.31
"11,969.00","11,651.00",90.72,"12,520.00","5,400.00","11,969.00",BAJAJFINSV,417.50,3.55
"4,229.50","4,171.00",47.22,"4,361.40","2,811.60","4,229.50",BAJAJ-AUTO,157.23,3.76
"3,038.80","2,999.75",77.96,"3,092.85","1,645.10","3,032.95",ASIANPAINT,242.85,8.06
380.60,374.20,155.30,427.50,144.50,378.00,HINDALCO,191.29,50.70
"1,512.95","1,487.00",142.29,"1,547.00",565.00,"1,505.00",GRASIM,111.09,7.42
231.10,227.60,31.45,251.50,154.60,230.80,POWERGRID,122.90,53.72
"3,609.00","3,535.00",0.17,"4,010.00","3,317.30","3,609.00",BRITANNIA,104.08,2.93
682.95,667.50,251.06,773.00,188.55,681.05,JSWSTEEL,370.09,55.00
"1,166.80","1,130.20",251.53,"1,246.85",320.30,"1,166.00",TATASTEEL,867.09,75.73
